SL.No,Type,ozwin TBC,Ozwin TBC,Part number,Product Number,Model,Description ,SR no,Total Qty,Available,Ordered,Owner,Comments,
46,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ0Y7,1,,122-Middle,,,
47,Storage Controller,,,836269-001,830824-B21,,HPE Smart Array P408i-p SR Gen10 Ctrlr,PFJHD0ARC70038,1,,122-Top,,,
48,Storage Controller,,,P47623-001,P47184-B21,,HPE SR932i-p Gen11 24G Controller Kit,PZDLA0A52HU0CL,1,,122-Top,,3A11F30093D,
49,Storage Controller,,,P47623-001,P47184-B21,,HPE SR932i-p Gen11 24G Controller Kit,PZDLA0A52HS06D,1,,122-Top,,3A09F3018DE,
50,Storage Controller,,,P47951-001,P47777-B21,,HPE MR416i-p Gen11 12G Controller Kit,PZDUVOABII3OHO,1,,122-Top,,,
51,Storage Controller,,,P47952-001,P47781-B21,,HPE MR416i-o Gen11 12G Controller Kit,PZDVH0ABIID0I1,1,,122-Top,,,
52,Storage Controller,,,P47952-001,P47781-B21,,HPE MR416i-o Gen11 12G Controller Kit,PZDVH0ABII41NO,1,,122-Top,,,
53,UBM,,,P50726-001,,,"UBM CAGE, EDSFF SSD, DL380G11",425142310CI7048,1,,122-Top,,,
54,UBM,,,P50726-001,,,"UBM CAGE, EDSFF SSD, DL380G11",425142110CI401H,1,,122-Top,,,
55,Processor,,,,,Q421,PLATINUM 8562Y+ EMERALD RAPIDS R1 60MB 32c FC-LGA 300W Q421 - 2S Perf GP-99CFGC,434NT14100205 / 3334D449,1,,117-Bottom,,,P67408-B21
56,Processor,,,,,Q422,INTEL(R) XEON(R) GOLD 6534 EMERALD RAPIDS R1 22.5MB 8c FC-LGA 195W Q422,43Y86T1400382 / 3335F268,1,,117-Bottom,,,
57,Processor,,,,,Q42W,EMR-SP MCC QS-6548N - Q42W - 2.6GHz - 32C - 250W - - QS/MCC - 2S Network Opt ,43KX748800366 / 3334D396,1,,117-Bottom,,,
58,Processor,,,,,Q41R,INTEL(R) XEON(R) GOLD 5512U EMERALD RAPIDS R1 52.5MB 28c FC-LGA 185W Q41R,43JE766700847 / 3335F277,1,,117-Bottom,,,
59,Processor,,,,,Q40R,INTEL(R) XEON(R) SILVER 4510 SAPPHIRE RAPIDS U1 30MB 12c FC-LGA 150W Q40R, / J322H497,1,,117-Bottom,,,
60,Processor,,,,,Q41Q,INTEL(R) XEON(R) GOLD 6558Q EMERALD RAPIDS R1 60MB 32c FC-LGA 350W Q41Q,434NT14100479 / 3335F236,1,,117-Bottom,,,
61,Processor,,,,,Q42X,INTEL(R) XEON(R) GOLD 6538N EMERALD RAPIDS R1 60MB 32c FC-LGA 205W Q42X,43AE769301824 / 3335F310,1,,117-Bottom,,,
62,Processor,,,,,Q3DK,INTEL(R)XEON(R) GRANITE RAPIDS A2 288MB 56c FC-LGA 350W Q3DK, / C325A079,1,,117-Bottom,,,
63,Processor,,,,,Q3W3,INTEL(R) XEON(R) GOLD 6530 EMERALD RAPIDS A1 160MB 32c FC-LGA 270W Q3W3,73V74W7800567 / J330J032,1,,117-Bottom,,,
64,Processor,,,,,Q3V3,INTEL(R) XEON(R) GOLD 6554S EMERALD RAPIDS A1 180MB 36c FC-LGA 270W Q3V3,73K022A800740 / J331G757,1,,117-Bottom,,,
65,Processor,,,,,Q41V,INTEL(R) XEON(R) GOLD 6526Y EMERALD RAPIDS R1 37.5MB 16c FC-LGA 195W Q41V,431652FF00532 / 3337F392,1,,117-Bottom,,,
66,Processor,,,,,Q41U,INTEL(R) XEON(R) GOLD 6542Y EMERALD RAPIDS R1 60MB 24c FC-LGA 250W Q41U,43C113W200407 / 3335F289,1,,117-Bottom,,,
67,Processor,,,,,Q3J5,INTEL(R)XEON(R) GRANITE RAPIDS A2 176MB 44c FC-LGA 350W Q3J5, / C329A692,1,,117-Bottom,,,
68,Processor,,,,,Q40U,INTEL(R) XEON(R) SILVER 4510T SAPPHIRE RAPIDS U1 30MB 12c FC-LGA 115W Q40U, / J321H647,1,,117-Bottom,,,
69,Processor,,,,,Q3WB,INTEL(R) XEON(R) PLATINUM 8558 EMERALD RAPIDS A1 260MB 48c FC-LGA 330W Q3WB,735B4P2400897 / J331G759,1,,117-Bottom,,,
70,Processor,,,,,Q41W,GOLD 6538Y+ EMERALD RAPIDS R1 60MB 32c FC-LGA 225W Q41W - 2S Mainline GP-99CFG6,432B3E3900196 / 3334D435,1,,117-Bottom,,,
71,Processor,,,,,Q41S,GOLD 6544Y EMERALD RAPIDS R1 45MB 16c FC-LGA 270W Q41S - 2S Perf GP-99CFG2,43SF366800407 / 3333D653,1,,117-Bottom,,,
72,Processor,,,,,Q41Y,INTEL(R) XEON(R) SILVER 4516Y+ EMERALD RAPIDS R1 45MB 24c FC-LGA 185W Q41Y,43AE769300052 / 3335F267,1,,117-Bottom,,,
73,Processor,,,,,Q420,INTEL(R) XEON(R) GOLD 5515+ EMERALD RAPIDS R1 22.5MB 8c FC-LGA 165W Q420,43KX748800707 / 3333D665,1,,117-Bottom,,,
74,Processor,,,,,Q46Q,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 96c FC-LGA 250W Q46Q,738F8R5200274 / J337F493,1,,117-Bottom,,,
75,Processor,,,,,Q46Q,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 96c FC-LGA 250W Q46Q,738F8R5200089 / J337F493,1,,117-Bottom,,,
76,Processor,,,,,Q46B,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 64c FC-LGA 315W Q46B,738U0S4500532 / J345F455,1,,117-Bottom,,,
77,Processor,,,,,Q46E,INTEL(R) XEON(R) SIERRA FOREST A0 108MB 144c FC-LGA 320W Q46E,73DX974600059 / J340F976,1,,117-Bottom,,,
78,Processor,,,,,Q46E,INTEL(R) XEON(R) SIERRA FOREST A0 108MB 144c FC-LGA 320W Q46E,73BM939800365 / J340F976,1,,117-Bottom,,,
79,Processor,,,,,Q46C,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 128c FC-LGA 315W Q46C,73DX974600496 / J338F449,1,,117-Bottom,,,
80,Processor,,,,,Q46C,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 128c FC-LGA 315W Q46C,73DX974600248 / J338F449,1,,117-Bottom,,,
81,Processor,,,,,Q3PD,INTEL(R) XEON(R) SIERRA FOREST A0 108MB 144c FC-LGA 350W Q3PD,D3MJ945100067 / C319A001,1,,117-Bottom,,,
82,Processor,,,,,Q46B,INTEL(R) XEON(R) SIERRA FOREST A0 96MB 64c FC-LGA 315W Q46B,738U0S4500220 / J345F455,1,,117-Bottom,,,
83,Processor,,,,,Q3PD,INTEL(R) XEON(R) SIERRA FOREST A0 108MB 144c FC-LGA 350W Q3PD,D3MJ945100046 / C319A001,1,,117-Bottom,,,
84,GPU,,,,,HP90-48695-1,Qualcomm X100 5G RAN accelerator card,48695-01-1330,1,,117-Middle,,,
85,GPU,,,,,NDCHWB1791.X12,NOKIA A-RINLINE2-B,L1232903423,1,,117-Middle,,,
86,GPU,,,,,NDCHWB1791.M01,NOKIA A-RINLINE2-B,L1234404356,1,,117-Middle,,,
87,Fan,,,P49980-001,,,"ASSY,6056FANMOD,Sunon",,21,,117-Top,,,
88,DC-SCM,,,,,RB12-11 A01,TRINITY DC-SCM,CB34RP0012,1,,117,,,
89,Drive,,,P50248-001,P50227-B21,MO001600KYDMU,1.6TB NVMe MU U.3 PM1735a SSD-SAM,S70YNE0T901009,1,,122-Middle,,,
